"Employer Name","CBA File","Location","Union","Expiration Date","NAICS*","#Wrkrs","Type"
"HAWAII GENERAL CONTRACTORS LABOR ASSOCIATION",1590,"HI","CARPENTERS IND (CJA) LOCAL UNION 745",,"23622","6200","PRIVATE"
"HAWAII GENERAL CONTRACTORS LABOR ASSOCIATION",1591,"HI","UBC 745","Aug 31, 2007","23622","6200","PRIVATE"
"HAWAII WALL & CEILING INDUSTRY ASSOCIATION",1848,"HI","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 630","Aug 31, 2019","238140","1000","PRIVATE"
"HAWAIIAN AIRLINES, INC.",2078,"HAWAII","IAM -","Dec 31, 2013","48111","1000","PRIVATE"
"HAWAIIAN TELECOM",447,"HI","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1357","Sep 21, 2011","517110","1350","PRIVATE"
"HEALTH EMPLOYERS, INC. (AIDES, ATTNDNTS & OTHERS)",814,"MN","SERVICE EMPLOYEES (SEIU) LOCAL UNION 113 HEALTHCARE MINNESOTA","Feb 28, 2009","62211","3000","PRIVATE"
"HEALTH EMPLOYERS, INC. (AIDES, ATTNDNTS & OTHERS)",815,"MN","SERVICE EMPLOYEES (SEIU) LOCAL UNION 113 HEALTHCARE MINNESOTA","Feb 28, 2009","62211","3000","PRIVATE"
"HEALTH EMPLOYERS, INC. (AIDES, ATTNDNTS & OTHERS)",816,"MN MINN-ST PAUL","SERVICE EMPLOYEES (SEIU) LOCAL UNION 113 HEALTHCARE MINNESOTA","Feb 28, 2006","62211","3000","PRIVATE"
"HEALTHEAST CORP.",753,"MN ST PAUL","MNA ","May 31, 2007","62211","1300","PRIVATE"
"HEALTHTEX INC.",977,"VA AL GA","UNITE HERE  704C","Dec 21, 2005","315299","1200","PRIVATE"
"HEARST COMMUNICATIONS, INC. (HEARST MAGAZINES DIVISION)",1266,"NY","HEARST INTERNATIONAL EMPLOYEES ASSOCIATION  ","Feb 28, 2019",,,"PRIVATE"
"HEARST SOCO NEWSPAPER, LLC D/B/A THE ADVOCATE",1931,"NY","UAW 2110","Sep 30, 2010","813319","2771","PRIVATE"
"HEAVY & HIGHWAY",1738,"KY","LIUNA 2631","Jun 30, 2015","23731","4000","PRIVATE"
"HEAVY & HIGHWAY",1739,"KY","LABORERS  (LIUNA) LOCAL UNION 189","Jun 30, 2012","23731","4000","PRIVATE"
"HEAVY & HIGHWAY",2057,"IL","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 520","Jul 31, 2012","23731",,"PRIVATE"
"HEAVY & HIGHWAY",2058,"IL","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 520","Jul 31, 2015","23731",,"PRIVATE"
"HEAVY & HIGHWAY CONTRACTORS",1740,"KY","LABORERS  (LIUNA) LOCAL UNION 1214/LABORERS  (LIUNA) LOCAL UNION 1392/LABORERS  (LIUNA) LOCAL UNION 1445/LABORERS  (LIUNA) LOCAL UNION 189/LABORERS  (LIUNA) LOCAL UNION 561/LABORERS  (LIUNA) LOCAL UNION 576","Jun 30, 2009","23731","4000","PRIVATE"
"HEAVY & HIGHWAY CONTRACTORS (HVY-HWY)",1737,"KY","LABORERS  (LIUNA) LOCAL UNION 576","Jun 30, 2004","23731","4000","PRIVATE"
"HEAVY & HIGHWAY CONTRACTORS (HVY-HWY)",1899,"KY","CARPENTERS IND (CJA) LOCAL UNION 85","Mar 31, 2013","23731","1057","PRIVATE"
"HEAVY AND HIGHWAY CONSTRUCTION",1585,"IL","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 520","Jul 31, 2012","23731","1500","PRIVATE"
"HEAVY CONSTRUCTORS ASSOCIATION OF GREATER KC",1274,"MO","LABORERS  (LIUNA) LOCAL UNION 1290/LABORERS  (LIUNA) LOCAL UNION 663","Mar 31, 2010","23731","1000","PRIVATE"
"HEAVY CONSTRUCTORS ASSOCIATION OF GREATER KC",1275,"MO KANSAS CITY","LABORERS  (LIUNA) LOCAL UNION 1290/LABORERS  (LIUNA) LOCAL UNION 663","Mar 31, 2006","23731","1000","PRIVATE"
"HEAVY CONSTRUCTORS ASSOCIATION OF GREATER KC",1276,"MO KANSAS CITY","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 101","Mar 31, 2006","23731","3200","PRIVATE"
"HEAVY CONSTRUCTORS ASSOCIATION OF GREATER KC (HVY-HWY)",1077,"KS MO KANSAS CITY","TEAMSTERS (IBT) LOCAL UNION 541","Mar 31, 2006","23731","2000","PRIVATE"
"HEAVY, HIGHWAY, UTILITY AND/OR RAILROAD CONSTRUCTION",2437,"PA","LABORERS  (LIUNA) LOCAL UNION 158","Apr 30, 2020",,,"PRIVATE"
"HECHT'S DIV OF MAY DEPT. STORE",588,"MD","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 400","Jul 19, 2005","452110","1600","PRIVATE"
"HEINEN'S INC. (CLERKS)",1782,"OH& PA","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 880","Sep 11, 2011","445110","10700","PRIVATE"
"HERSHEY CHOCOLATE U.S.A.",65,"PA HERSHEY","BCTGM 464","Oct 31, 2010","31133","2800","PRIVATE"
"HERTZ CORPORATION, THE (BUS DRIVERS)",861,"PA","OFFICE AND PROFESSIONAL EMPLS AFL-CIO (OPEIU) LOCAL UNION 32","Mar 31, 2022",,,"PRIVATE"
"HERTZ CORPORATION, THE (UTILITY PERSON)",862,"PA","OFFICE AND PROFESSIONAL EMPLS AFL-CIO (OPEIU) LOCAL UNION 32","May 31, 2020",,,"PRIVATE"
"HFA: NEW YORK STATE HOUSING FINANCE AGENCY",1923,"NY","UAW 2110","Apr 30, 2011","813319","2771","PRIVATE"
"HIGH-RISE CONTRACT (BCA)",1559,"NY NASSAU","TEAMSTERS (IBT) LOCAL UNION 282","Jun 30, 2005","23622","4700","PRIVATE"
"HIGHLAND CHATEAU SUITES, LLC (LPNS)",2530,"MN","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1189","Sep 30, 2019",,,"PRIVATE"
"HIGHLAND CHATEAU SUITES, LLC (SERVICE & MAINTENANCE)",2531,"MN","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1189","Sep 30, 2019",,,"PRIVATE"
"HIGHRISE INDUSTRY (BCA & INDEPENDENTS)",2385,"NY","TEAMSTERS (IBT) LOCAL UNION 282","Jun 30, 2019",,,"PRIVATE"
"HIGHWAY, HEAVY AND UTILITY DIVISIONS - ICA, INC.",1891,"KY","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 181","Mar 31, 2012","23731","4490","PRIVATE"
"HIGHWAY, HEAVY AND UTILITY DIVISIONS - ICA, INC.",1892,"KY","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 181","Mar 31, 2018","23731","4490","PRIVATE"
"HIGHWAY, HEAVY AND UTILITY DIVISIONS - ICA, INC.",1893,"KY","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 181","Mar 31, 2015","23731","4490","PRIVATE"
"HIGHWAY, RAILROAD AND HEAVY CONSTRUCTION CONTRACTORS (MINNESOTA)",2489,"MN","LABORERS  (LIUNA) DISTRICT COUNCIL 0 MINNESOTA-NORTH DAKOTA","Apr 30, 2020",,,"PRIVATE"
"HIGHWAY, RAILROAD AND HEAVY CONSTRUCTION CONTRACTORS (NORTH DAKOTA)",2491,"ND","LABORERS  (LIUNA) LOCAL UNION 563","Apr 30, 2020",,,"PRIVATE"
"HILTON GARDEN INN PHILDELPHIA CENTER CITY",2558,"PA","UNITE HERE  274","May 31, 2019","721110","79","PRIVATE"
"HILTON MANAGEMENT LLC (ORLANDO BUENA VISTA PALACE)",2455,"FL","UNITE HERE  737","Dec 31, 2019",,,"PRIVATE"
"HIRE NELSON CO., INC.",2329,"IL","CRCC ","May 31, 2019",,,"PRIVATE"
"HIRSH INDUSTRIES, INC.",2251,"DE","TEAMSTERS (IBT) LOCAL UNION 326 GENERAL TEAMSTERS","Jun 23, 2020",,,"PRIVATE"
"HOLY CROSS HIGH SCHOOL",2438,"NJ","NACST 1776","Aug 31, 2016",,,"PRIVATE"
"HOME BUILDERS ASSOCIATION OF METROPOLITAN PORTLAND",2475,"OR","CJA RC PACIFIC NORTHWEST","Jun 30, 2019",,,"PRIVATE"
"HOME BUILDERS ASSOCIATION. (RESID.)",1610,"MO ST LOUIS","UBC ST LOUIS DC","May 3, 2004","2361","4500","PRIVATE"
"HOME PRODUCTS INTERNATIONAL-NORTH AMERICA, INC.",2523,"IL","PLASTIC WORKERS UNION  18","Jan 25, 2022","326119","120","PRIVATE"
"HONEYWELL FEDERAL MANUFACTURING & TECHNOLOGIES",2,"KS","MACHINISTS AFL-CIO (IAM) LODGE 778","Nov 19, 2017","332995","1000","PRIVATE"
"HONEYWELL INTERNATIONAL INC SPECIALTY MATERIALS",153,"VA HOPEWELL","TEAMSTERS (IBT) LOCAL UNION 101","May 14, 2005","325222","1062","PRIVATE"
"HONEYWELL INTERNATIONAL INC.",308,"CA IN NJ NY","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 508/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 531/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 791/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 91","May 7, 2007","3363","1100","PRIVATE"
"HONEYWELL INTERNATIONAL SMART ENERGY",1038,"OH","PERFECTION EMPLOYEES INDEPENDENT UNION  ","Mar 31, 2020",,,"PRIVATE"
"HONEYWELL SPARK PLUG PLANT (WAS ALLIED SIGNAL)",364,"OH FOSTORIA","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 533","Oct 31, 2006","336322","800","PRIVATE"
"HONEYWELL, FEDERAL MANUFACTURING & TECHNOLOGIES",3,"MO KANSAS CITY","MACHINISTS AFL-CIO (IAM) LODGE 778","Oct 9, 2005","332995","1000","PRIVATE"
"HONEYWELL, INC.",380,"MN MINNEAPOLIS","TEAMSTERS (IBT) LOCAL UNION 1145","Jan 31, 2007","334512","2500","PRIVATE"
"HOOVER CO. AND INTERNATIONAL BROTHERHOOD OF ELECTRICAL",287,"OH CANTON","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1985","Jun 29, 2008","335212","2000","PRIVATE"
"HORIZON AIR INDUSTRIES, INC.",2295,"WA","IBT ","Dec 15, 2020",,,"PRIVATE"
"HORMEL & CO.",43,"MN AUSTIN","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 9","Sep 9, 2007","311611","1350","PRIVATE"
"HORSESHOE HOTEL & CASINO",743,"NV LAS VEGAS","UNITE HERE  226,165","May 31, 2007","72112","1100","PRIVATE"
"HOST INTERNATIONAL, INC.",2343,"NV","CWU 226","May 31, 2021",,,"PRIVATE"
"HOTEL ASSOCIATION. OF WASHINGTON, D.C.",736,"DC WASHINGTON","UNITEHERE  25","Sep 15, 2004","72111","4500","PRIVATE"
"HOTEL ASSOCIATION. OF WASHINGTON, D.C. AND UNITE HERE",737,"DC WASHINGTON","UNITE HERE  25","Sep 15, 2010","72111","4500","PRIVATE"
"HOTEL RESTAURANT EMPLOYERS' COUNCIL OF SO. CA INC.",703,"CA SOUTHERN","UNITE HERE  11","Apr 15, 2004","722110","5000","PRIVATE"
"HOTELS, THE (MULTIEMPLOYER)",738,"CA SAN FRAN","UNITEHERE  2","Aug 14, 2004","72111","6500","PRIVATE"
"HOWMET CORP.",358,"MI","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 1243","Jun 1, 2010","336413","1400","PRIVATE"
"HOWMET CORP.",359,"MI WHITEHALL","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 1243","Jun 1, 2005","336413","1400","PRIVATE"
"HOWMET CORP.",360,"MI","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 1243","Jun 1, 2010","336413","1400","PRIVATE"
"HUNTINGTON INGALL INC. - SHIPBUILDING DIV. - METAL TRADES",338,"PASCAGONOULA, MISSISSIPPI","MTD -","Mar 11, 2015","336611","5000","PRIVATE"
"HUNTINGTON INGALL INC. - SHIPBUILDING DIV. - METAL TRADES",339,"PASCAGONOULA, MISSISSIPPI","MTD -","Mar 11, 2018","336611","5000","PRIVATE"
"HUNTINGTON INGALL INC. - SHIPBUILDING DIVISION",342,"PASCAGONOULA, MISSISSIPPI","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 733","Mar 11, 2018","336611","1300","PRIVATE"
"HUNTS POINT TERMINAL MARKET (WAREHOUSEMEN)",1104,"NY","TEAMSTERS (IBT) LOCAL UNION 202","Jan 17, 2012","493120","1300","PRIVATE"
"HUNTS POINT TERMINAL MARKET (WAREHOUSEMEN)",1105,"NY BRONX","TEAMSTERS (IBT) LOCAL UNION 202","Jan 15, 2010","493120","1300","PRIVATE"
"HUSSMANN CORP./ INGERSOLL RAND",256,"MO BRIDGETON","STEELWORKERS, AFL-CIO (USW) LOCAL UNION 11 9014 S","Dec 23, 2004","333415","1200","PRIVATE"
"HYDRO EXTRUSION NORTH AMERICA, LLC PHONEIX",2414,"AZ","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 428","Apr 30, 2021",,,"PRIVATE"
"IBP INC.",81,"IL JOSLIN","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1540","Mar 5, 2006","311611","1900","PRIVATE"
"IBP INC.",82,"IA WATERLOO","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 431","Dec 31, 2006",,,"PRIVATE"
"IBP INC.",1053,"IL JOSLIN","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1540","Mar 5, 2006","311611","1700","PRIVATE"
"IBP, DAKOTA DUNES SOUTH DAKOTA",890,"TX AMARILLO","TEAMSTERS (IBT) LOCAL UNION 577","Nov 11, 2007","311611","2500","PRIVATE"
"ICA, INC. (HIGHWAY HEAVY UTILITY DIVISION)",915,"IN","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 181","Mar 31, 2012","23731","2800","PRIVATE"
"ICCR: INTER FAITH CENTER ON CORPORATE RESPONSIBILITY",1924,"NY","UAW 2110","Sep 30, 2011","813319","2771","PRIVATE"
"ILLINOIS ASSOCIATION OF HEALTH CARE FACILITIES",785,"IL CHICAGO","SERVICE EMPLOYEES (SEIU) LOCAL UNION 4","Dec 31, 2007","621492","4600","PRIVATE"
"ILLINOIS ENVIRONMENTAL CONTRACTORS ASSOCIATION (ASBESTOS)",1399,"IL","LABORERS  (LIUNA) DISTRICT COUNCIL 0 CHICAGO/LABORERS  (LIUNA) LOCAL UNION 225","May 31, 2010","562910","2500","PRIVATE"
"ILLINOIS ENVIRONMENTAL CONTRACTORS ASSOCIATION (ASBESTOS)",1400,"IL NORTHEAST","LABORERS  (LIUNA) DISTRICT COUNCIL 0 CHICAGO/LABORERS  (LIUNA) LOCAL UNION 225",,"562910","2500","PRIVATE"
"ILLINOIS POWER CO.",501,"IL","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 51","Jun 30, 2006","221","1125","PRIVATE"
"ILLINOIS ROAD BUILDERS ASSOCIATION (MARBA)",844,"IL CHICAGO","LABORERS  (LIUNA) DISTRICT COUNCIL 0 CHICAGO","May 31, 2006","23731","5900","PRIVATE"
"IMAGEWORKS MANUFACTURING, INC.",2539,"IL","CHEMICAL PRODUCTION  30","Mar 31, 2022","323111","10","PRIVATE"
"INDEPENDENT (GENERAL BLDG)",1250,"NY ERIE CO PERRYSBURG, GOWANDA","LABORERS  (LIUNA) LOCAL UNION 210","Jun 30, 2007","23731","1800","PRIVATE"
"INDEPENDENT (HVY-HWY)",1246,"NY","LABORERS  (LIUNA) LOCAL UNION 210","Mar 31, 2013","23731","1800","PRIVATE"
"INDEPENDENT (HVY-HWY)",1247,"NY ERIE CO.","LABORERS  (LIUNA) LOCAL UNION 210","Mar 31, 2005","23731","1800","PRIVATE"
"INDEPENDENT BUILDING AGREEMENT (WAS BCA)",1364,"NY ROCK-WSTC-PN","UBC RC, 11,964","Apr 30, 2004","23622","3200","PRIVATE"
"INDEPENDENT BUILDING CONTRACTORS",2055,"KY","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","May 31, 2015","238140","1730","PRIVATE"
"INDEPENDENT CONTRACTOR",1137,"NY NEW YORK","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 46 METALLIC LATHERS' UNION","Jun 30, 2005","23819","1200","PRIVATE"
"INDEPENDENT CONTRACTORS",1199,"MD DC VA","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 77","Apr 30, 2005","23622","1250","PRIVATE"
"INDEPENDENT CONTRACTORS",1849,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","Mar 31, 2017","238140","1730","PRIVATE"
"INDEPENDENT CONTRACTORS",1883,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","Mar 31, 2017","238140","1730","PRIVATE"
"INDEPENDENT CONTRACTORS",1884,"KY, IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","May 31, 2010","238140","1730","PRIVATE"
"INDEPENDENT CONTRACTORS",1898,"NY","CARPENTERS IND (CJA) LOCAL UNION 85","Mar 31, 2013","23731","1057","PRIVATE"
"INDEPENDENT CONTRACTORS - AREA 694 - LOUISVILLE",2054,"KY","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","May 31, 2020","238140","1730","PRIVATE"
"INDEPENDENT CONTRACTORS LATHING AND PLASTERING",1850,"IN","- -","Mar 31, 2017",,,"PRIVATE"
"INDEPENDENT CONTRACTORS OF 23 COUNTIES IN WESTERN NY",997,"NY LOCKPORT","CARPENTERS IND (CJA) LOCAL UNION 23","Jun 30, 2004","2361","3800","PRIVATE"
"INDEPENDENT GENERAL CONTRACTORS OF SO FL",1175,"FL SOUTH","CJA SO. FL RC","Mar 31, 2006","23622","3500","PRIVATE"
"INDEPENDENT HEAVY & HIGHWAY AGREEMENT",994,"NY ROCHESTER","CARPENTERS IND (CJA) LOCAL UNION 85","Mar 31, 2010","23731","1300","PRIVATE"
"INDEPENDENT HEAVY & HIGHWAY AGREEMENT",995,"NY ROCHESTER","CARPENTERS IND (CJA) LOCAL UNION 85","Mar 31, 2006","23731","1300","PRIVATE"
"INDEPENDENT HEAVY, HIGHWAY, UTILITY AND/OR RAILROAD CONSTRUCTION",2384,"PA","LABORERS  (LIUNA) LOCAL UNION 158","Apr 30, 2020",,,"PRIVATE"
"INDEPENDENT HIGHWAY, RAILROAD & HEAVY CEMENT MASON CONTRACTORS ( METRO AREA AGREEMENT)",1085,"MN, ND, WI","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 633","Apr 30, 2008",,,"PRIVATE"
"INDEPENDENT PLASTERING CONTRACTORS (ROCHESTER AREA)",1909,"NY ROCHESTER","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 633","May 31, 2013","238140","1376","PRIVATE"
"INDEPENDENT PRODUCERS (BASIC TV FILM AGREEMENT)",778,"NATIONAL","AFM -","Feb 15, 2005","238140",,"PRIVATE"
"INDEPENDENT PRODUCERS (BASIC TV FILM AGREEMENT)",846,"NATIONAL","AFM -","Feb 15, 2005","238140",,"PRIVATE"
"INDEPENDENT TUNNEL AGREEMENT",996,"NY ROCHESTER","UBC 85","Mar 31, 2006","23731","1300","PRIVATE"
"INDEPENDENTS (ROAD & HVY CONSTRUCTION)",979,"NY NASS & SUFF","LABORERS  (LIUNA) LOCAL UNION 1298","May 31, 2007","23731","1800","PRIVATE"
"INDIANA BUILDING DIVISION ICA, INC.",920,"IN TERRE HAUTE","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 841","Mar 31, 2011","23731","1000","PRIVATE"
"INDIANA BUILDING SEWER WATERLINE AND UTILITY",1895,"IN","- -",,"23731","1000","PRIVATE"
"INDIANA CONSTRUCTORS INC (HVY-HWY)",1670,"IN","LABORERS  (LIUNA) DISTRICT COUNCIL 57 INDIANA","Mar 31, 2009","23731","10000","PRIVATE"
"INDIANA CONSTRUCTORS INC (HWY-HVY-RR)",914,"IN","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 181","Mar 31, 2009","23731","2800","PRIVATE"
"INDIANAPOLIS PLANT CARRIER CORPORATION",253,"IN","STEELWORKERS, AFL-CIO (USW) LOCAL UNION 07 1999 S","May 2, 2011","333415","1100","PRIVATE"
"INDIANAPOLIS PLANT CARRIER CORPORATION (UNITED TECHNOLOGIES)",252,"IN INDIANAPOLIS","STEELWORKERS, AFL-CIO (USW) LOCAL UNION 07 1999 S","May 1, 2005","333415","1100","PRIVATE"
"INDUSTRIAL AND ENVIRONMENTAL CLEANING SERVICES (HOERR CONSTRUCTION, INC.)",1124,"IL","GREAT PLAINS LABORERS DISTRICT COUNCIL  ","Dec 31, 2022",,,"PRIVATE"
"INDUSTRIAL AND ENVIRONMENTAL CLEANING SERVICES (HUNTER HYDRO-VAC, INC.)",1123,"IL","TEAMSTERS (IBT) LOCAL UNION 627","Dec 31, 2022","562998","6","PRIVATE"
"INDUSTRIAL CNTRCRS & BLDRS ASSOCIATION & CALUMET BLDRS ASSOCIATION",1571,"IN","LABORERS  (LIUNA) LOCAL UNION 41/LABORERS  (LIUNA) LOCAL UNION 81","May 31, 2005","23621","1400","PRIVATE"
"INDUSTRIAL EMPLOYERS & DISTRIBUTORS ASSOCIATION",543,"CA","LONGSHORE AND WAREHOUSE UNION (ILWU) LOCAL UNION 17/LONGSHORE AND WAREHOUSE UNION (ILWU) LOCAL UNION 6","May 31, 2010","424480","1100","PRIVATE"
"INDUSTRIAL EMPLOYERS & DISTRIBUTORS ASSOCIATION",544,"CA NORTHERN","LONGSHORE AND WAREHOUSE UNION (ILWU) LOCAL UNION 17/LONGSHORE AND WAREHOUSE UNION (ILWU) LOCAL UNION 6","May 31, 2007","424480","1100","PRIVATE"
"INDUSTRIAL FIRST, INC.",1121,"OH","TEAMSTERS (IBT) LOCAL UNION 436","Dec 31, 2023",,,"PRIVATE"
"INLAND NORTHWEST AGC",2469,"WA","CJA RC PACIFIC NORTHWEST","May 31, 2019",,,"PRIVATE"
"INSTITUTE FOR PUBLIC AFFAIRS",2183,"DC","WBNG 32035","Sep 13, 2017",,,"PRIVATE"
"INSULATION CONTRACTORS ASSOCIATION NORTHERN WISCOSIN",1496,"WI","HFIAW 127","May 31, 2020",,,"PRIVATE"
"INTEGRATED DEFENSE SYSTEMS & BOEING COMMERCIAL AIRPLANE",318,"CA","IAM -","Oct 23, 2005","23819",,"PRIVATE"
"INTEGRATED POWER SERVICES PORTLAND, OREGON SERVICE CENTER",2357,"OR","MTD PORTLAND AND VICINITY","Sep 30, 2017",,,"PRIVATE"
"INTER-CON SECURITY SYSTEM, INC.",2063,"WA","GOVERNMENT SECURITY OFFICERS, IND (UGSOA) LOCAL UNION 355","Jan 31, 2018","561612","1000","PRIVATE"
"INTERIOR FINISH CONTRACTORS ASSOCIATION OF DELAWARE VALLEY",926,"PA EASTERN","CJA METRO RC PHILADELPHIA","Apr 30, 2009","23835","4000","PRIVATE"
"INTERNATIONAL AUTOMOTIVE COMPONENTS",1956,"OH HURON","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 913","Jan 30, 2013","813319","1000","PRIVATE"
"INTERNATIONAL BROTHERHOOD OF BOILERMAKERS LOCAL LODGE 13",892,"PA","OFFICE AND PROFESSIONAL EMPLS AFL-CIO (OPEIU) LOCAL UNION 32","Jun 30, 2021",,,"PRIVATE"
"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS (IBEW LU 357)",2534,"NV","OFFICE AND PROFESSIONAL EMPLS AFL-CIO (OPEIU) LOCAL UNION 537","Mar 31, 2023",,,"PRIVATE"
"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS JOINT APPRENTICESHIP & TRAINING LOCAL 313",830,"DE","OFFICE AND PROFESSIONAL EMPLS AFL-CIO (OPEIU) LOCAL UNION 32","Dec 31, 2022",,,"PRIVATE"
"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 313",831,"DE","OFFICE AND PROFESSIONAL EMPLS AFL-CIO (OPEIU) LOCAL UNION 32","Dec 31, 2020",,,"PRIVATE"
"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 98",828,"PA","OFFICE AND PROFESSIONAL EMPLS AFL-CIO (OPEIU) LOCAL UNION 32","May 31, 2021",,,"PRIVATE"
"INTERNATIONAL PAPER (MOA)",889,"ME BUCKSPORT","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1777/MACHINISTS AFL-CIO (IAM) LODGE 1821/STEELWORKERS, AFL-CIO (USW) LOCAL UNION 04 261","Jul 31, 2007","322121","1000","PRIVATE"
"INTERNATIONAL PAPER (WAS CHAMPION INTERNATIONAL CORP.)",139,"AL COURTLAND","PACE, AFL-CIO (PACE) LOCAL UNION 05 161","Jun 14, 2008","322121","1100","PRIVATE"
"INTERNATIONAL PAPER CO.",114,"AR PINE BLUFF","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 2033","Aug 31, 2004","322121","1100","PRIVATE"
"INTERNATIONAL PAPER CO.",115,"SC MS AL TX LA GA NY FL VA NC","USW -","Sep 30, 2014","322121","1100","PRIVATE"
"INTERNATIONAL PAPER COMPANY (RIEGELWOOD MILL)",138,"NC","PACE 2-738","Sep 9, 2006",,,"PRIVATE"
"INTERURBAN TRANSIT PARTNERSHIP",2513,"MI","ATU 836","Dec 10, 2020",,,"PRIVATE"
"IOWA STATE (PROFESS SOC SVCS & SCIENCE)",30,"IA","UE IUP 893","Jun 30, 2007","624","2200","PRIVATE"
"IRON WORKER EMPLOYEE COUNCIL",1384,"CA & NV","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 229","Jun 30, 2017","23819",,"PRIVATE"
"IRON WORKER EMPLOYERS, CA & A PORTION OF NV",106,"CA & NV","BSOIW -","Jun 30, 2007","23819",,"PRIVATE"
"IRON WORKER EMPLOYERS, CA & A PORTION OF NV",107,"CA, NV","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 416/IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 433","Jun 30, 2007",,,"PRIVATE"
"IRONWORKER EMPLOYERS ASSOCIATION OF WESTERN PA",1385,"PA PITTSBURGH","IRON WORKERS AFL-CIO (BSOIW) LOCAL UNION 3","May 31, 2006","23819","1400","PRIVATE"
"ITHACA HEALTH ALLIANCE, INC.",2272,"NY","SEIU ROCHESTER REGION","Mar 1, 2018",,,"PRIVATE"
"IUOE BUILDING AGREEMENT, INDIANA JURISDICTION",918,"IN TERRE HAUTE","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 841","Apr 1, 2009","23622","1000","PRIVATE"
"IUOE INDEPENDENT 2002 (HVY)",1469,"NJ, SE NY","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 825","Jun 30, 2005","23731","6325","PRIVATE"
"IUOE MASTER AGREEMENT (BLDG-HVY-HWY-ENGRG)",1514,"CO DENVER","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 9","Apr 30, 2004","23731","1000","PRIVATE"
"J & J WORLDWIDE SERVICES",1969,"TEXAS","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 351","Oct 31, 2013",,,"PRIVATE"
